age,height,weight,throws,brk,pitches,starter,before,TJ,diff,S
26,76,187,R,9.548545663132195,441,TRUE,95.09213483146068,1,NA,FALSE
39,73,210,R,8.105417652984558,2046,TRUE,91.61337209302326,0,0.28258478029211176,TRUE
40,73,210,R,8.841341273918474,1190,FALSE,92.59523076923077,0,NA,FALSE
41,73,210,R,8.388113109439402,1328,TRUE,92.3123348017621,0,NA,FALSE
42,73,210,R,8.222705154913537,980,TRUE,92.31644444444444,0,NA,FALSE
43,73,210,R,7.9725925421604185,970,TRUE,91.89595687331537,0,NA,FALSE
39,74,225,R,8.674978160020144,298,FALSE,85.46412213740457,0,NA,FALSE
43,77,220,R,9.203379053106827,1083,FALSE,91.86837416481069,0,NA,FALSE
44,77,220,R,9.606037178937179,328,FALSE,89.86826923076923,0,NA,FALSE
37,71,285,R,9.976126868606547,585,TRUE,93.41250000000001,0,-1.9444508448540887,TRUE
38,71,285,R,11.122890530691015,879,TRUE,90.13152173913043,0,1.4273682917020523,TRUE
40,71,285,R,9.857649484193306,2527,TRUE,92.54700772200772,0,-2.3197580388644923,TRUE
41,71,285,R,10.169563335474871,2054,TRUE,91.46804915514592,0,-1.7062285029720101,TRUE
42,71,285,R,9.603006838091295,2777,TRUE,91.55889003083249,0,NA,FALSE
43,71,285,R,9.109038162468948,2966,TRUE,90.6619103773585,0,-1.2951513745884142,TRUE
44,71,285,R,9.42192519764663,2703,TRUE,90.22724968314323,0,NA,FALSE
45,71,285,R,9.785665691143857,2851,TRUE,89.76182065217391,0,NA,FALSE
47,71,285,R,9.840721572367679,2228,TRUE,89.36675900277008,0,NA,FALSE
40,71,200,R,8.39470328675213,498,FALSE,89.01443298969072,0,NA,FALSE
41,71,200,R,8.013072274360244,704,FALSE,88.45474860335196,0,NA,FALSE
40,74,185,L,10.318260361228159,1025,FALSE,92.78140127388534,0,NA,FALSE
41,74,185,L,8.265578443004165,385,FALSE,92.36694560669456,0,NA,FALSE
38,72,195,R,10.349052862271396,523,FALSE,85.55551839464883,0,NA,FALSE
44,72,175,L,12.159298721220875,1090,TRUE,82.41057471264368,0,NA,FALSE
38,77,220,R,10.314906522597239,934,FALSE,93.26289424860853,0,-1.0381025819418568,TRUE
39,77,220,R,9.86211061513847,993,FALSE,94.27772435897437,0,-1.6951824595330152,TRUE
40,77,220,R,10.277166899790066,321,FALSE,92.39148936170213,0,0.7518439716312031,TRUE
41,77,220,R,8.848221720479636,736,FALSE,92.55204301075268,0,0.49011385199240465,TRUE
42,77,220,R,9.57869711756451,719,FALSE,92.22479166666668,0,NA,FALSE
43,77,220,R,9.181570804353829,1027,FALSE,92.58254189944135,0,NA,FALSE
44,77,220,R,7.8166159933509896,819,FALSE,93.14333333333333,0,NA,FALSE
45,77,220,R,9.640215366835543,556,FALSE,93.04215686274509,0,NA,FALSE
35,74,245,R,9.563294090639575,2764,TRUE,83.97254588986434,0,0.008294005148783867,TRUE
36,74,245,R,9.404312063566886,2969,TRUE,84.76271698113209,0,NA,FALSE
37,74,245,R,8.999802338340702,3244,TRUE,84.2587852494577,0,NA,FALSE
38,74,245,R,8.60246391247374,2688,TRUE,83.88023630504834,0,NA,FALSE
39,74,245,R,8.75023277166452,1111,TRUE,83.98083989501312,0,NA,FALSE
43,73,200,R,12.410771603331423,605,FALSE,87.07006802721088,0,NA,FALSE
44,73,200,R,9.89770150859186,747,FALSE,85.6360119047619,0,NA,FALSE
45,73,200,R,9.551438325466357,753,FALSE,84.94970760233917,0,NA,FALSE
38,75,235,R,9.293422446102742,747,FALSE,91.96986301369863,0,-2.0453874892231028,TRUE
39,75,235,R,10.240223135054256,161,FALSE,91.132,0,NA,FALSE
41,75,235,R,9.473258632570143,817,FALSE,90.44736842105263,0,NA,FALSE
42,75,235,R,9.43274409939457,808,FALSE,89.92447552447553,0,NA,FALSE
37,78,225,R,7.916557459054436,491,TRUE,92.09451219512195,0,NA,FALSE
47,82,225,L,9.89020455717719,2561,TRUE,91.38563758389262,0,NA,FALSE
48,82,225,L,9.036392966486002,1482,TRUE,90.08044554455445,0,NA,FALSE
42,75,200,R,10.851294566687475,676,FALSE,90.25705521472392,0,NA,FALSE
39,74,230,R,9.267344951811545,376,TRUE,84.70826446280992,0,NA,FALSE
37,78,230,R,7.817068568988958,2988,TRUE,89.65094760312151,0,-1.8216963340859849,TRUE
38,78,230,R,7.965682707207371,3205,TRUE,88.56550764951321,0,-0.7466397249849024,TRUE
39,78,230,R,7.9697385881744545,3149,TRUE,88.41624874623872,0,NA,FALSE
40,78,230,R,7.549377006561252,3219,TRUE,87.9068578553616,0,NA,FALSE
41,78,230,R,7.981144850856113,2337,TRUE,87.82925126903552,0,NA,FALSE
42,78,230,R,9.11240500225766,199,FALSE,87.8188679245283,0,NA,FALSE
44,72,170,R,9.061834527320215,2522,TRUE,84.14820641913153,0,NA,FALSE
39,74,200,L,11.157742217586497,1058,FALSE,90.61134521880065,0,NA,FALSE
40,74,200,L,10.245760029502891,897,FALSE,90.73081896551724,0,NA,FALSE
41,74,200,L,9.183512673934606,565,FALSE,89.06910994764398,0,NA,FALSE
39,71,170,R,9.457629179919996,1855,TRUE,88.49659284497444,0,NA,FALSE
40,71,170,R,9.241903864719378,727,TRUE,89.0463503649635,0,NA,FALSE
42,73,175,L,12.554193127216232,219,FALSE,89.26326530612243,0,NA,FALSE
37,75,200,L,10.589476261641417,674,FALSE,86.55783132530121,0,NA,FALSE
38,75,200,L,8.585377588993031,625,FALSE,87.02153846153846,0,NA,FALSE
39,75,200,L,8.61377277841002,609,FALSE,87.28846153846153,0,NA,FALSE
40,75,200,L,9.215249505134974,390,FALSE,86.87101449275363,0,NA,FALSE
36,76,230,R,10.227106805809235,2446,TRUE,90.77444933920705,0,-0.632628571070498,TRUE
37,76,230,R,9.743480443348869,3139,TRUE,90.45933014354067,0,NA,FALSE
